n_samples,duration,USAGE_OF_BACKING_FILM,USAGE_OF_DRESSER,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER_TABLE,USAGE_OF_MEMBRANE,USAGE_OF_PRESSURIZED_SHEET,PRESSURIZED_CHAMBER_PRESSURE_mean,PRESSURIZED_CHAMBER_PRESSURE_std,PRESSURIZED_CHAMBER_PRESSURE_min,PRESSURIZED_CHAMBER_PRESSURE_max,PRESSURIZED_CHAMBER_PRESSURE_slope,MAIN_OUTER_AIR_BAG_PRESSURE_mean,MAIN_OUTER_AIR_BAG_PRESSURE_std,MAIN_OUTER_AIR_BAG_PRESSURE_min,MAIN_OUTER_AIR_BAG_PRESSURE_max,MAIN_OUTER_AIR_BAG_PRESSURE_slope,CENTER_AIR_BAG_PRESSURE_mean,CENTER_AIR_BAG_PRESSURE_std,CENTER_AIR_BAG_PRESSURE_min,CENTER_AIR_BAG_PRESSURE_max,CENTER_AIR_BAG_PRESSURE_slope,RETAINER_RING_PRESSURE_mean,RETAINER_RING_PRESSURE_std,RETAINER_RING_PRESSURE_min,RETAINER_RING_PRESSURE_max,RETAINER_RING_PRESSURE_slope,RIPPLE_AIR_BAG_PRESSURE_mean,RIPPLE_AIR_BAG_PRESSURE_std,RIPPLE_AIR_BAG_PRESSURE_min,RIPPLE_AIR_BAG_PRESSURE_max,RIPPLE_AIR_BAG_PRESSURE_slope,SLURRY_FLOW_LINE_A_mean,SLURRY_FLOW_LINE_A_std,SLURRY_FLOW_LINE_A_min,SLURRY_FLOW_LINE_A_max,SLURRY_FLOW_LINE_A_slope,SLURRY_FLOW_LINE_B_mean,SLURRY_FLOW_LINE_B_std,SLURRY_FLOW_LINE_B_min,SLURRY_FLOW_LINE_B_max,SLURRY_FLOW_LINE_B_slope,SLURRY_FLOW_LINE_C_mean,SLURRY_FLOW_LINE_C_std,SLURRY_FLOW_LINE_C_min,SLURRY_FLOW_LINE_C_max,SLURRY_FLOW_LINE_C_slope,WAFER_ROTATION_mean,WAFER_ROTATION_std,WAFER_ROTATION_min,WAFER_ROTATION_max,WAFER_ROTATION_slope,STAGE_ROTATION_mean,STAGE_ROTATION_std,STAGE_ROTATION_min,STAGE_ROTATION_max,STAGE_ROTATION_slope,HEAD_ROTATION_mean,HEAD_ROTATION_std,HEAD_ROTATION_min,HEAD_ROTATION_max,HEAD_ROTATION_slope,DRESSING_WATER_STATUS_mean,DRESSING_WATER_STATUS_std,DRESSING_WATER_STATUS_min,DRESSING_WATER_STATUS_max,DRESSING_WATER_STATUS_slope,EDGE_AIR_BAG_PRESSURE_mean,EDGE_AIR_BAG_PRESSURE_std,EDGE_AIR_BAG_PRESSURE_min,EDGE_AIR_BAG_PRESSURE_max,EDGE_AIR_BAG_PRESSURE_slope,WAFER_ID,STAGE,AVG_REMOVAL_RATE
286.0,301.0,9302.5,534.074074074,292.592592593,2666.25,110.306324111,2790.75,66.42690642694369,24.28195135983716,0.0,92.380952381,0.03763557183693514,287.0055944055944,111.68362769885009,0.0,348.0,-0.1621046988954548,85.18575174825175,32.64901074028875,0.0,102.1875,-0.04137646692203803,1501.2545454545457,693.9171359537448,0.0,8829.6,-0.5960188720137328,12.49443738081161,4.827490375958302,0.0,15.2727272727,-0.008215043213374802,8.773795648794335,10.740714032722083,2.22222222222,32.9166666667,0.04068599351013195,0.9090909090910001,1.1102230246251565e-16,0.909090909091,0.909090909091,2.2322888052745085e-18,399.31328671328663,260.70478769474056,0.0,593.6,-0.9133725324739425,6.9165718002916075,13.863514692513341,0.0,34.8837209302,-0.03684764946967373,68.90780272353184,101.06129043938812,0.0,263.026315789,0.10989024488091655,160.38041958041956,7.84740176805463,156.8,192.0,-0.005462881149658565,1.0,0.0,1.0,1.0,0.0,50.477855477863635,19.498896564229714,0.0,60.9090909091,-0.02618014498055137,371447024,A,149.1309
286.0,301.0,9356.66666667,536.296296296,341.481481481,2667.75,110.948616601,2807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.34405594405592,1.599021657953547,156.8,160.0,-0.004335177018103695,0.3951048951048951,0.48887321154778457,0.0,1.0,-0.0013678234474126644,0.0,0.0,0.0,0.0,0.0,371447028,A,152.04915
276.0,291.33300000429153,9356.66666667,536.296296296,341.481481481,2667.75,110.948616601,2807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.4927536231884,1.5973092266012254,156.8,160.0,0.0034483526205388564,0.5471014492753623,0.49777650956645236,0.0,1.0,0.0021035658737746338,0.0,0.0,0.0,0.0,0.0,371447036,A,151.70175
356.0,374.0,9253.33333333,531.851851852,249.62962963,2664.75,109.723320158,2776.0,68.3319957196632,28.27592636260939,0.0,150.476190476,0.06989819190854737,212.8247191011236,103.78402951429699,0.0,270.0,0.14467580100563732,54.430301966292134,26.54836791076864,0.0,69.375,0.036747376193712177,1519.1485955056178,1397.2732254441044,0.0,10650.9,0.43171556769566705,7.664198161388652,3.6719881840242534,0.0,9.54545454545,0.006174643244918792,4.770599250933989,6.574224852590877,0.0,26.3888888889,0.01725503199116368,0.9065372829418681,0.04811400327226419,0.0,0.909090909091,-5.198528792172594e-06,339.0280898876405,177.63838946918372,0.0,478.8,-0.25492157173044827,14.044290567018486,16.654991397493657,0.0,34.8837209302,-0.03917635758137737,55.989798935492175,93.90675157853715,0.0,263.026315789,0.2798065395186482,160.05393258426966,6.749765808334777,156.8,192.0,0.004252135416597341,1.0,0.0,1.0,1.0,0.0,40.228123935968426,19.416418540496643,0.0,57.8787878788,0.04041054192333885,-4113511818,A,65.0223
353.0,369.0,9260.0,532.222222222,255.555555556,2665.0,109.802371542,2778.0,85.82894914332351,49.28249671352734,0.0,150.476190476,0.16277558767397365,278.199433427762,185.5421813932515,0.0,498.0,0.5875045286494369,66.22875354107649,41.87463785819672,0.0,137.8125,0.11222107543420477,1805.1917847025495,1580.7703684441983,0.0,9781.2,4.606252264324717,9.974633015705438,6.497489947688186,0.0,20.0454545455,0.021592134256718427,5.179414542018243,6.632261191941078,0.0,26.3888888889,-0.0003577223839643347,0.9065155807366345,0.04831744280014319,0.0,0.909090909091,4.06735217754185e-05,329.67818696883853,185.2495072844213,0.0,478.8,-0.5069811040738192,14.228868831932806,16.674643079939145,0.0,34.8837209302,-0.03893014343165817,55.514015207940425,93.65982918709105,0.0,263.026315789,0.2918084226787819,160.03626062322945,6.8041346919780885,156.8,192.0,0.00533311217519198,1.0,0.0,1.0,1.0,0.0,45.57215211606694,27.857822001230947,0.0,106.363636364,0.06198495913028023,-4113511780,A,61.04565
351.0,367.33399999141693,9280.0,532.962962963,272.592592593,2665.5,110.039525692,2784.0,66.695156695147,27.898229959694216,0.0,150.0,0.0600346743204563,203.52820512820512,98.93442000073078,0.0,258.0,0.1327159507159506,52.096688034188034,25.29465094158577,0.0,66.25,0.03389847999222994,1478.4111111111108,1307.2235271278373,0.0,7070.7,1.1341515151515125,7.997409997416553,3.827781174068822,0.0,10.0909090909,0.005561849766377891,4.900680595123675,6.712391950907927,0.0,26.3888888889,0.017596022804365556,0.9065009065009972,0.04845451161323899,0.0,0.909090909091,-5.297732570461368e-06,337.7310541310541,179.0789824912848,0.0,476.0,-0.30608313908314,14.24368912740251,16.68810331087855,0.0,34.8837209302,-0.040619909805922144,57.68855900429816,95.17840714212964,0.0,263.026315789,0.3000531997239461,160.18233618233617,7.348238637011496,156.8,192.0,0.007400599400599167,0.1168091168091168,0.3211926945610546,0.0,1.0,0.0003543678543678543,37.11387378053427,18.16783790238708,0.0,57.8787878788,0.038306642852099185,-4224160584,B,75.86415
351.0,367.0,9286.66666667,533.333333333,278.518518519,2665.75,110.118577075,2786.0,67.38977072309459,26.288228297810935,0.0,150.0,0.0566683316684017,208.65641025641023,95.03124397114605,0.0,258.0,0.11320379620379568,53.39832621082621,24.303043698410168,0.0,66.25,0.029028350122100158,1516.822222222222,1324.7989531143357,0.0,7476.3,1.1925508658008654,8.2176897176947,3.7058995153551098,0.0,16.6818181818,0.0048853419307978655,5.4942228553326204,7.181436296468443,0.0,26.3888888889,0.006716316091307491,0.9039109039109944,0.06842706456163805,0.0,0.909090909091,3.607503607503873e-05,342.7566951566952,178.2077738492434,0.0,470.4,-0.3140909090909097,14.536540117929887,16.857412418693293,0.0,34.8837209302,-0.04063055807239234,57.86812115754249,94.8898489712803,0.0,263.026315789,0.301037595445167,160.17321937321935,7.2706309781766,156.8,192.0,0.0036585636585632912,0.1396011396011396,0.34657273612216344,0.0,1.0,-0.00012570762570762617,37.99102132435136,17.469603031136817,0.0,57.8787878788,0.034608152790022946,-4224160580,B,71.907
353.0,371.33399999141693,9293.33333333,533.703703704,284.444444444,2666.0,110.197628458,2788.0,34.49750438418584,38.08787846085363,0.0,150.0,-0.27113047561256537,106.38186968838528,124.6267724815465,0.0,258.0,-0.9054667891766367,27.229992917847024,31.89273287968048,0.0,66.25,-0.2317604551783741,821.6847025495753,1316.4445882490813,0.0,7476.3,-5.709446653600872,4.17344836466932,4.866801562219067,0.0,10.0454545455,-0.035224237093726005,2.9701762669173086,5.848029975784698,0.0,26.3888888889,-0.020014834509684772,0.5021890291012606,0.4520416574294065,0.0,0.909090909091,-0.003775197246740245,176.31274787535412,213.92902077124373,0.0,470.4,-1.7078695923560756,14.50951973120122,16.859755413910893,0.0,34.8837209302,-0.04424600892624222,57.16527508567441,94.03110201488688,0.0,263.026315789,0.2907418065614763,160.10878186968836,7.005037195349251,156.8,192.0,0.004598052353370222,0.12181303116147309,0.32706974271663686,0.0,1.0,-0.00044086129456081895,19.328697742295837,22.711544260768616,0.0,57.8787878788,-0.15717546729246154,-2697400536,B,69.83865
341.0,356.33399999141693,9320.0,534.814814815,308.888888889,2666.75,110.513833992,2796.0,68.80463622401906,27.779118242824417,0.0,150.0,0.012792460710214016,209.64457478005866,104.87734104235946,0.0,270.0,-0.06202336961949432,53.665689149560116,26.841578710877425,0.0,69.375,-0.016272028181545998,1625.1105571847506,1518.767574033455,0.0,7066.8,2.0384740746120937,7.5567848573710545,3.734600002012883,0.0,9.54545454545,-0.0012397519588128588,5.374714890842991,7.00735550974946,0.0,26.3888888889,0.009718006322424774,0.9037589976007303,0.06941731040412069,0.0,0.909090909091,4.209403808107789e-05,327.4275659824047,184.66469717791657,0.0,470.4,-0.5075071497961743,10.190274841436304,15.36845110901724,0.0,34.8837209302,-0.030221318346757255,62.06860626633837,94.13789658492236,0.0,263.026315789,0.2821937143592324,161.4451612903226,9.078217382233587,156.8,192.0,0.012059958417693658,0.5747800586510264,0.4943763170178655,0.0,1.0,0.004168822954401702,39.86936816848593,19.6688041109461,0.0,57.8787878788,0.0013253660966250692,-4224160600,A,61.6548
354.0,369.66699999570847,9430.83333333,541.851851852,65.9259259259,2671.5,111.828063241,2829.25,35.417002959391525,39.4779906848645,0.0,150.0,-0.2679865624825066,109.17966101694915,129.51996741509444,0.0,270.0,-0.8814574255925919,27.942266949152543,33.14375750439218,0.0,69.375,-0.22565055551535568,860.1262711864407,1401.7912276210209,0.0,8907.6,-5.394869403679007,3.934514637904378,4.636646399524903,0.0,9.54545454545,-0.031216225712128773,3.2336785938467227,6.121400305131769,0.0,26.25,-0.020334444581939753,0.5136106831022598,0.4506915453206471,0.0,0.909090909091,-0.003741080950581184,182.03954802259886,213.49651478603676,0.0,484.4,-1.6707285031551002,14.039548022591665,16.63855259550324,0.0,34.8837209302,-0.03767090298627,56.1845822182042,94.30772163923251,0.0,263.026315789,0.284696641181145,160.07231638418077,7.267369355291411,156.8,192.0,0.0013849844155438894,0.12146892655367232,0.32667143498563034,0.0,1.0,-0.0004583703304959641,20.715630885122316,24.46311610389517,0.0,57.8787878788,-0.16131740412720424,-4113511814,A,58.27905
